DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMAS MEDIOS,FECHA HECHO,GENERO,GRUPO ETARIO,CANTIDAD
ANTIOQUIA,BELLO,5088000,SIN EMPLEO DE ARMAS,2016-12-02,FEMENINO,ADULTOS,1
ANTIOQUIA,CAREPA,5147000,CONTUNDENTES,2016-12-02,MASCULINO,ADULTOS,1
ANTIOQUIA,CAUCASIA,5154000,CONTUNDENTES,2016-12-02,FEMENINO,ADULTOS,1
ANTIOQUIA,CAUCASIA,5154000,CONTUNDENTES,2016-12-02,MASCULINO,MENORES,1
ANTIOQUIA,CONCORDIA,5209000,CONTUNDENTES,2016-12-02,FEMENINO,MENORES,1
ANTIOQUIA,ENVIGADO,5266000,SIN EMPLEO DE ARMAS,2016-12-02,FEMENINO,ADULTOS,1
ANTIOQUIA,FREDONIA,5282000,CONTUNDENTES,2016-12-02,FEMENINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),5001000,CONTUNDENTES,2016-12-02,FEMENINO,ADULTOS,2
ANTIOQUIA,MEDELLÍN (CT),5001000,SIN EMPLEO DE ARMAS,2016-12-02,FEMENINO,ADULTOS,10
ANTIOQUIA,MEDELLÍN (CT),5001000,SIN EMPLEO DE ARMAS,2016-12-02,MASCULINO,ADULTOS,2
ANTIOQUIA,RIONEGRO,5615000,SIN EMPLEO DE ARMAS,2016-12-02,FEMENINO,ADULTOS,1
ANTIOQUIA,SANTO DOMINGO,5690000,SIN EMPLEO DE ARMAS,2016-12-02,FEMENINO,ADULTOS,1
ANTIOQUIA,YONDÓ,5893000,SIN EMPLEO DE ARMAS,2016-12-02,FEMENINO,ADULTOS,1
ARAUCA,ARAUCA (CT),81001000,CONTUNDENTES,2016-12-02,FEMENINO,ADULTOS,2
ATLÁNTICO,BARRANQUILLA (CT),8001000,CONTUNDENTES,2016-12-02,FEMENINO,ADULTOS,4
ATLÁNTICO,PUERTO COLOMBIA,8573000,CONTUNDENTES,2016-12-02,FEMENINO,ADULTOS,1
BOLÍVAR,CARTAGENA (CT),13001000,SIN EMPLEO DE ARMAS,2016-12-02,FEMENINO,ADULTOS,5
BOLÍVAR,EL CARMEN DE BOLÍVAR,13244000,SIN EMPLEO DE ARMAS,2016-12-02,FEMENINO,ADULTOS,1
BOLÍVAR,VILLANUEVA,13873000,ESCOPOLAMINA,2016-12-02,FEMENINO,ADOLESCENTES,1
BOYACÁ,CHIQUINQUIRÁ,15176000,CONTUNDENTES,2016-12-02,FEMENINO,ADULTOS,1
BOYACÁ,DUITAMA,15238000,CONTUNDENTES,2016-12-02,FEMENINO,ADULTOS,3
BOYACÁ,SANTA ROSA DE VITERBO,15693000,CONTUNDENTES,2016-12-02,FEMENINO,ADULTOS,1
BOYACÁ,SANTANA,15686000,CONTUNDENTES,2016-12-02,FEMENINO,ADULTOS,1
BOYACÁ,TUNJA (CT),15001000,CONTUNDENTES,2016-12-02,FEMENINO,ADULTOS,3
CALDAS,MANIZALES (CT),17001000,NO REPORTA,2016-12-02,MASCULINO,ADULTOS,1
CALDAS,MANIZALES (CT),17001000,NO REPORTA,2016-12-02,MASCULINO,MENORES,1
CAQUETÁ,SAN VICENTE DEL CAGUÁN,18753000,CONTUNDENTES,2016-12-02,FEMENINO,ADULTOS,1
CASANARE,SAN LUIS DE PALENQUE,85325000,CONTUNDENTES,2016-12-02,FEMENINO,ADULTOS,1
CASANARE,YOPAL (CT),85001000,CONTUNDENTES,2016-12-02,FEMENINO,ADULTOS,1
CAUCA,INZÁ,19355000,CONTUNDENTES,2016-12-02,FEMENINO,ADOLESCENTES,1
CAUCA,POPAYÁN (CT),19001000,CONTUNDENTES,2016-12-02,FEMENINO,ADULTOS,1
CAUCA,POPAYÁN (CT),19001000,SIN EMPLEO DE ARMAS,2016-12-02,FEMENINO,ADULTOS,2
CAUCA,SANTANDER DE QUILICHAO,19698000,CONTUNDENTES,2016-12-02,FEMENINO,ADULTOS,1
CHOCÓ,BAHÍA SOLANO,27075000,SIN EMPLEO DE ARMAS,2016-12-02,FEMENINO,ADULTOS,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,CONTUNDENTES,2016-12-02,FEMENINO,ADULTOS,5
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ESCOPOLAMINA,2016-12-02,FEMENINO,ADULTOS,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ESCOPOLAMINA,2016-12-02,MASCULINO,ADULTOS,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,SIN EMPLEO DE ARMAS,2016-12-02,FEMENINO,ADOLESCENTES,2
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,SIN EMPLEO DE ARMAS,2016-12-02,FEMENINO,ADULTOS,27
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,SIN EMPLEO DE ARMAS,2016-12-02,FEMENINO,MENORES,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,SIN EMPLEO DE ARMAS,2016-12-02,MASCULINO,ADULTOS,7
CUNDINAMARCA,CABRERA,25120000,SIN EMPLEO DE ARMAS,2016-12-02,FEMENINO,ADULTOS,1
CUNDINAMARCA,FACATATIVÁ,25269000,CONTUNDENTES,2016-12-02,MASCULINO,MENORES,1
CUNDINAMARCA,JUNÍN,25372000,SIN EMPLEO DE ARMAS,2016-12-02,FEMENINO,ADULTOS,1
CUNDINAMARCA,JUNÍN,25372000,SIN EMPLEO DE ARMAS,2016-12-02,MASCULINO,ADULTOS,1
CUNDINAMARCA,TENJO,25799000,SIN EMPLEO DE ARMAS,2016-12-02,FEMENINO,MENORES,1
CUNDINAMARCA,UBALÁ,25839000,SIN EMPLEO DE ARMAS,2016-12-02,FEMENINO,ADULTOS,1
CUNDINAMARCA,ZIPAQUIRÁ,25899000,CONTUNDENTES,2016-12-02,FEMENINO,ADULTOS,1
CUNDINAMARCA,ZIPAQUIRÁ,25899000,CONTUNDENTES,2016-12-02,MASCULINO,ADULTOS,1
CÓRDOBA,MONTERÍA (CT),23001000,CONTUNDENTES,2016-12-02,FEMENINO,ADULTOS,3
CÓRDOBA,TIERRALTA,23807000,SIN EMPLEO DE ARMAS,2016-12-02,MASCULINO,ADOLESCENTES,1
GUAJIRA,RIOHACHA (CT),44001000,CONTUNDENTES,2016-12-02,FEMENINO,ADULTOS,1
