date_id,date,year,month,day,quarter,day_of_week,day_name,month_name,week_of_year,is_weekend
1,2016-12-02,2016,12,2,4,5,Friday,December,48,0
2,2016-12-03,2016,12,3,4,6,Saturday,December,48,1
3,2016-12-04,2016,12,4,4,7,Sunday,December,48,1
4,2016-12-05,2016,12,5,4,1,Monday,December,49,0
5,2016-12-06,2016,12,6,4,2,Tuesday,December,49,0
6,2016-12-07,2016,12,7,4,3,Wednesday,December,49,0
7,2016-12-08,2016,12,8,4,4,Thursday,December,49,0
8,2016-12-09,2016,12,9,4,5,Friday,December,49,0
9,2016-12-10,2016,12,10,4,6,Saturday,December,49,1
10,2016-12-11,2016,12,11,4,7,Sunday,December,49,1
11,2016-12-12,2016,12,12,4,1,Monday,December,50,0
12,2016-12-13,2016,12,13,4,2,Tuesday,December,50,0
13,2016-12-14,2016,12,14,4,3,Wednesday,December,50,0
14,2016-12-15,2016,12,15,4,4,Thursday,December,50,0
15,2016-12-16,2016,12,16,4,5,Friday,December,50,0
16,2016-12-17,2016,12,17,4,6,Saturday,December,50,1
17,2016-12-18,2016,12,18,4,7,Sunday,December,50,1
18,2016-12-19,2016,12,19,4,1,Monday,December,51,0
19,2016-12-20,2016,12,20,4,2,Tuesday,December,51,0
20,2016-12-21,2016,12,21,4,3,Wednesday,December,51,0
21,2016-12-22,2016,12,22,4,4,Thursday,December,51,0
22,2016-12-23,2016,12,23,4,5,Friday,December,51,0
23,2016-12-24,2016,12,24,4,6,Saturday,December,51,1
24,2016-12-25,2016,12,25,4,7,Sunday,December,51,1
25,2016-12-26,2016,12,26,4,1,Monday,December,52,0
26,2016-12-27,2016,12,27,4,2,Tuesday,December,52,0
27,2016-12-28,2016,12,28,4,3,Wednesday,December,52,0
28,2016-12-29,2016,12,29,4,4,Thursday,December,52,0
29,2016-12-30,2016,12,30,4,5,Friday,December,52,0
30,2016-12-31,2016,12,31,4,6,Saturday,December,52,1
31,2017-01-01,2017,1,1,1,7,Sunday,January,52,1
32,2017-01-02,2017,1,2,1,1,Monday,January,1,0
33,2017-01-03,2017,1,3,1,2,Tuesday,January,1,0
34,2017-01-04,2017,1,4,1,3,Wednesday,January,1,0
35,2017-01-05,2017,1,5,1,4,Thursday,January,1,0
36,2017-01-06,2017,1,6,1,5,Friday,January,1,0
37,2017-01-07,2017,1,7,1,6,Saturday,January,1,1
38,2017-01-08,2017,1,8,1,7,Sunday,January,1,1
39,2017-01-09,2017,1,9,1,1,Monday,January,2,0
40,2017-01-10,2017,1,10,1,2,Tuesday,January,2,0
41,2017-01-11,2017,1,11,1,3,Wednesday,January,2,0
42,2017-01-12,2017,1,12,1,4,Thursday,January,2,0
43,2017-01-13,2017,1,13,1,5,Friday,January,2,0
44,2017-01-14,2017,1,14,1,6,Saturday,January,2,1
45,2017-01-15,2017,1,15,1,7,Sunday,January,2,1
46,2017-01-16,2017,1,16,1,1,Monday,January,3,0
47,2017-01-17,2017,1,17,1,2,Tuesday,January,3,0
48,2017-01-18,2017,1,18,1,3,Wednesday,January,3,0
49,2017-01-19,2017,1,19,1,4,Thursday,January,3,0
50,2017-01-20,2017,1,20,1,5,Friday,January,3,0
51,2017-01-21,2017,1,21,1,6,Saturday,January,3,1
52,2017-01-22,2017,1,22,1,7,Sunday,January,3,1
53,2017-01-23,2017,1,23,1,1,Monday,January,4,0
54,2017-01-24,2017,1,24,1,2,Tuesday,January,4,0
55,2017-01-25,2017,1,25,1,3,Wednesday,January,4,0
56,2017-01-26,2017,1,26,1,4,Thursday,January,4,0
57,2017-01-27,2017,1,27,1,5,Friday,January,4,0
58,2017-01-28,2017,1,28,1,6,Saturday,January,4,1
59,2017-01-29,2017,1,29,1,7,Sunday,January,4,1
60,2017-01-30,2017,1,30,1,1,Monday,January,5,0
61,2017-01-31,2017,1,31,1,2,Tuesday,January,5,0
62,2017-02-01,2017,2,1,1,3,Wednesday,February,5,0
63,2017-02-02,2017,2,2,1,4,Thursday,February,5,0
64,2017-02-03,2017,2,3,1,5,Friday,February,5,0
65,2017-02-04,2017,2,4,1,6,Saturday,February,5,1
66,2017-02-05,2017,2,5,1,7,Sunday,February,5,1
67,2017-02-06,2017,2,6,1,1,Monday,February,6,0
68,2017-02-07,2017,2,7,1,2,Tuesday,February,6,0
69,2017-02-08,2017,2,8,1,3,Wednesday,February,6,0
70,2017-02-09,2017,2,9,1,4,Thursday,February,6,0
71,2017-02-10,2017,2,10,1,5,Friday,February,6,0
72,2017-02-11,2017,2,11,1,6,Saturday,February,6,1
73,2017-02-12,2017,2,12,1,7,Sunday,February,6,1
74,2017-02-13,2017,2,13,1,1,Monday,February,7,0
75,2017-02-14,2017,2,14,1,2,Tuesday,February,7,0
76,2017-02-15,2017,2,15,1,3,Wednesday,February,7,0
77,2017-02-16,2017,2,16,1,4,Thursday,February,7,0
78,2017-02-17,2017,2,17,1,5,Friday,February,7,0
79,2017-02-18,2017,2,18,1,6,Saturday,February,7,1
80,2017-02-19,2017,2,19,1,7,Sunday,February,7,1
81,2017-02-20,2017,2,20,1,1,Monday,February,8,0
82,2017-02-21,2017,2,21,1,2,Tuesday,February,8,0
83,2017-02-22,2017,2,22,1,3,Wednesday,February,8,0
84,2017-02-23,2017,2,23,1,4,Thursday,February,8,0
85,2017-02-24,2017,2,24,1,5,Friday,February,8,0
86,2017-02-25,2017,2,25,1,6,Saturday,February,8,1
87,2017-02-26,2017,2,26,1,7,Sunday,February,8,1
88,2017-02-27,2017,2,27,1,1,Monday,February,9,0
89,2017-02-28,2017,2,28,1,2,Tuesday,February,9,0
90,2017-03-01,2017,3,1,1,3,Wednesday,March,9,0
91,2017-03-02,2017,3,2,1,4,Thursday,March,9,0
92,2017-03-03,2017,3,3,1,5,Friday,March,9,0
93,2017-03-04,2017,3,4,1,6,Saturday,March,9,1
94,2017-03-05,2017,3,5,1,7,Sunday,March,9,1
