location_id,CODIGO DANE,DEPARTAMENTO,MUNICIPIO
1,91001000,AMAZONAS,LETICIA (CT)
2,91540000,AMAZONAS,PUERTO NARIÑO
3,5002000,ANTIOQUIA,ABEJORRAL
4,5004000,ANTIOQUIA,ABRIAQUÍ
5,5021000,ANTIOQUIA,ALEJANDRÍA
6,5030000,ANTIOQUIA,AMAGÁ
7,5031000,ANTIOQUIA,AMALFI
8,5034000,ANTIOQUIA,ANDES
9,5036000,ANTIOQUIA,ANGELÓPOLIS
10,5038000,ANTIOQUIA,ANGOSTURA
11,5040000,ANTIOQUIA,ANORÍ
12,5044000,ANTIOQUIA,ANZA
13,5045000,ANTIOQUIA,APARTADÓ
14,5051000,ANTIOQUIA,ARBOLETES
15,5055000,ANTIOQUIA,ARGELIA
16,5059000,ANTIOQUIA,ARMENIA
17,5079000,ANTIOQUIA,BARBOSA
18,5088000,ANTIOQUIA,BELLO
19,5086000,ANTIOQUIA,BELMIRA
20,5091000,ANTIOQUIA,BETANIA
21,5093000,ANTIOQUIA,BETULIA
22,5107000,ANTIOQUIA,BRICEÑO
23,5113000,ANTIOQUIA,BURITICÁ
24,5125000,ANTIOQUIA,CAICEDO
25,5129000,ANTIOQUIA,CALDAS
26,5134000,ANTIOQUIA,CAMPAMENTO
27,5142000,ANTIOQUIA,CARACOLÍ
28,5145000,ANTIOQUIA,CARAMANTA
29,5147000,ANTIOQUIA,CAREPA
30,5150000,ANTIOQUIA,CAROLINA
31,5154000,ANTIOQUIA,CAUCASIA
32,5138000,ANTIOQUIA,CAÑASGORDAS
33,5172000,ANTIOQUIA,CHIGORODÓ
34,5190000,ANTIOQUIA,CISNEROS
35,5101000,ANTIOQUIA,CIUDAD BOLÍVAR
36,5197000,ANTIOQUIA,COCORNÁ
37,5206000,ANTIOQUIA,CONCEPCIÓN
38,5209000,ANTIOQUIA,CONCORDIA
39,5212000,ANTIOQUIA,COPACABANA
40,5120000,ANTIOQUIA,CÁCERES
41,5234000,ANTIOQUIA,DABEIBA
42,5237000,ANTIOQUIA,DON MATÍAS
43,5240000,ANTIOQUIA,EBÉJICO
44,5250000,ANTIOQUIA,EL BAGRE
45,5148000,ANTIOQUIA,EL CARMEN DE VIBORAL
46,5697000,ANTIOQUIA,EL SANTUARIO
47,5264000,ANTIOQUIA,ENTRERRIOS
48,5266000,ANTIOQUIA,ENVIGADO
49,5282000,ANTIOQUIA,FREDONIA
50,5284000,ANTIOQUIA,FRONTINO
51,5306000,ANTIOQUIA,GIRALDO
52,5308000,ANTIOQUIA,GIRARDOTA
53,5313000,ANTIOQUIA,GRANADA
54,5315000,ANTIOQUIA,GUADALUPE
55,5318000,ANTIOQUIA,GUARNE
56,5321000,ANTIOQUIA,GUATAPÉ
57,5310000,ANTIOQUIA,GÓMEZ PLATA
58,5347000,ANTIOQUIA,HELICONIA
59,5353000,ANTIOQUIA,HISPANIA
60,5360000,ANTIOQUIA,ITAGUI
61,5361000,ANTIOQUIA,ITUANGO
62,5364000,ANTIOQUIA,JARDÍN
63,5368000,ANTIOQUIA,JERICÓ
64,5376000,ANTIOQUIA,LA CEJA
65,5380000,ANTIOQUIA,LA ESTRELLA
66,5390000,ANTIOQUIA,LA PINTADA
67,5400000,ANTIOQUIA,LA UNIÓN
68,5411000,ANTIOQUIA,LIBORINA
69,5425000,ANTIOQUIA,MACEO
70,5440000,ANTIOQUIA,MARINILLA
71,5001000,ANTIOQUIA,MEDELLÍN (CT)
72,5467000,ANTIOQUIA,MONTEBELLO
73,5475000,ANTIOQUIA,MURINDÓ
74,5480000,ANTIOQUIA,MUTATÁ
75,5483000,ANTIOQUIA,NARIÑO
76,5495000,ANTIOQUIA,NECHÍ
77,5490000,ANTIOQUIA,NECOCLÍ
78,5501000,ANTIOQUIA,OLAYA
79,5543000,ANTIOQUIA,PEQUE
80,5541000,ANTIOQUIA,PEÑOL
81,5576000,ANTIOQUIA,PUEBLORRICO
82,5579000,ANTIOQUIA,PUERTO BERRÍO
83,5585000,ANTIOQUIA,PUERTO NARE
84,5591000,ANTIOQUIA,PUERTO TRIUNFO
85,5604000,ANTIOQUIA,REMEDIOS
86,5607000,ANTIOQUIA,RETIRO
87,5615000,ANTIOQUIA,RIONEGRO
88,5628000,ANTIOQUIA,SABANALARGA
89,5631000,ANTIOQUIA,SABANETA
90,5642000,ANTIOQUIA,SALGAR
91,5647000,ANTIOQUIA,SAN ANDRÉS DE CUERQUÍA
92,5649000,ANTIOQUIA,SAN CARLOS
93,5652000,ANTIOQUIA,SAN FRANCISCO
94,5656000,ANTIOQUIA,SAN JERÓNIMO
95,5658000,ANTIOQUIA,SAN JOSÉ DE LA MONTAÑA
96,5659000,ANTIOQUIA,SAN JUAN DE URABÁ
97,5660000,ANTIOQUIA,SAN LUIS
98,5664000,ANTIOQUIA,SAN PEDRO
99,5665000,ANTIOQUIA,SAN PEDRO DE URABÁ
100,5667000,ANTIOQUIA,SAN RAFAEL
101,5670000,ANTIOQUIA,SAN ROQUE
102,5674000,ANTIOQUIA,SAN VICENTE
103,5679000,ANTIOQUIA,SANTA BÁRBARA
104,5686000,ANTIOQUIA,SANTA ROSA DE OSOS
105,5042000,ANTIOQUIA,SANTAFÉ DE ANTIOQUIA
106,5690000,ANTIOQUIA,SANTO DOMINGO
107,5736000,ANTIOQUIA,SEGOVIA
108,5756000,ANTIOQUIA,SONSON
109,5761000,ANTIOQUIA,SOPETRÁN
110,5790000,ANTIOQUIA,TARAZÁ
111,5792000,ANTIOQUIA,TARSO
112,5809000,ANTIOQUIA,TITIRIBÍ
113,5819000,ANTIOQUIA,TOLEDO
114,5837000,ANTIOQUIA,TURBO
115,5789000,ANTIOQUIA,TÁMESIS
116,5842000,ANTIOQUIA,URAMITA
117,5847000,ANTIOQUIA,URRAO
118,5854000,ANTIOQUIA,VALDIVIA
119,5856000,ANTIOQUIA,VALPARAÍSO
120,5858000,ANTIOQUIA,VEGACHÍ
121,5861000,ANTIOQUIA,VENECIA
122,5873000,ANTIOQUIA,VIGÍA DEL FUERTE
123,5885000,ANTIOQUIA,YALÍ
124,5887000,ANTIOQUIA,YARUMAL
125,5890000,ANTIOQUIA,YOLOMBÓ
126,5893000,ANTIOQUIA,YONDÓ
127,5895000,ANTIOQUIA,ZARAGOZA
128,81001000,ARAUCA,ARAUCA (CT)
129,81065000,ARAUCA,ARAUQUITA
130,81220000,ARAUCA,CRAVO NORTE
131,81300000,ARAUCA,FORTUL
132,81591000,ARAUCA,PUERTO RONDÓN
133,81736000,ARAUCA,SARAVENA
134,81794000,ARAUCA,TAME
135,8078000,ATLÁNTICO,BARANOA
136,8001000,ATLÁNTICO,BARRANQUILLA (CT)
137,8137000,ATLÁNTICO,CAMPO DE LA CRUZ
138,8141000,ATLÁNTICO,CANDELARIA
139,8296000,ATLÁNTICO,GALAPA
140,8372000,ATLÁNTICO,JUAN DE ACOSTA
141,8421000,ATLÁNTICO,LURUACO
142,8433000,ATLÁNTICO,MALAMBO
143,8436000,ATLÁNTICO,MANATÍ
144,8520000,ATLÁNTICO,PALMAR DE VARELA
145,8549000,ATLÁNTICO,PIOJÓ
146,8558000,ATLÁNTICO,POLONUEVO
147,8560000,ATLÁNTICO,PONEDERA
148,8573000,ATLÁNTICO,PUERTO COLOMBIA
149,8606000,ATLÁNTICO,REPELÓN
150,8634000,ATLÁNTICO,SABANAGRANDE
151,8638000,ATLÁNTICO,SABANALARGA
152,8675000,ATLÁNTICO,SANTA LUCÍA
153,8685000,ATLÁNTICO,SANTO TOMÁS
154,8758000,ATLÁNTICO,SOLEDAD
155,8770000,ATLÁNTICO,SUAN
156,8832000,ATLÁNTICO,TUBARÁ
157,8849000,ATLÁNTICO,USIACURÍ
158,13006000,BOLÍVAR,ACHÍ
159,13030000,BOLÍVAR,ALTOS DEL ROSARIO
160,13042000,BOLÍVAR,ARENAL
161,13052000,BOLÍVAR,ARJONA
162,13062000,BOLÍVAR,ARROYOHONDO
163,13074000,BOLÍVAR,BARRANCO DE LOBA
164,13140000,BOLÍVAR,CALAMAR
165,13160000,BOLÍVAR,CANTAGALLO
166,13001000,BOLÍVAR,CARTAGENA (CT)
167,13188000,BOLÍVAR,CICUCO
168,13222000,BOLÍVAR,CLEMENCIA
169,13212000,BOLÍVAR,CÓRDOBA
170,13244000,BOLÍVAR,EL CARMEN DE BOLÍVAR
171,13248000,BOLÍVAR,EL GUAMO
172,13268000,BOLÍVAR,EL PEÑÓN
173,13300000,BOLÍVAR,HATILLO DE LOBA
174,13430000,BOLÍVAR,MAGANGUÉ
175,13433000,BOLÍVAR,MAHATES
176,13440000,BOLÍVAR,MARGARITA
177,13442000,BOLÍVAR,MARÍA LA BAJA
178,13468000,BOLÍVAR,MOMPÓS
179,13458000,BOLÍVAR,MONTECRISTO
180,13473000,BOLÍVAR,MORALES
181,13490000,BOLÍVAR,NOROSÍ
182,13549000,BOLÍVAR,PINILLOS
183,13580000,BOLÍVAR,REGIDOR
184,13600000,BOLÍVAR,RÍO VIEJO
185,13620000,BOLÍVAR,SAN CRISTÓBAL
186,13647000,BOLÍVAR,SAN ESTANISLAO
187,13650000,BOLÍVAR,SAN FERNANDO
188,13654000,BOLÍVAR,SAN JACINTO
189,13657000,BOLÍVAR,SAN JUAN NEPOMUCENO
190,13667000,BOLÍVAR,SAN MARTÍN DE LOBA
191,13670000,BOLÍVAR,SAN PABLO
192,13673000,BOLÍVAR,SANTA CATALINA
193,13683000,BOLÍVAR,SANTA ROSA
194,13688000,BOLÍVAR,SANTA ROSA DEL SUR
195,13744000,BOLÍVAR,SIMITÍ
196,13760000,BOLÍVAR,SOPLAVIENTO
197,13780000,BOLÍVAR,TALAIGUA NUEVO
198,13810000,BOLÍVAR,TIQUISIO
199,13836000,BOLÍVAR,TURBACO
200,13838000,BOLÍVAR,TURBANÁ
201,13873000,BOLÍVAR,VILLANUEVA
202,13894000,BOLÍVAR,ZAMBRANO
203,15022000,BOYACÁ,ALMEIDA
204,15047000,BOYACÁ,AQUITANIA
205,15051000,BOYACÁ,ARCABUCO
206,15087000,BOYACÁ,BELÉN
207,15090000,BOYACÁ,BERBEO
208,15092000,BOYACÁ,BETÉITIVA
209,15097000,BOYACÁ,BOAVITA
210,15104000,BOYACÁ,BOYACÁ
211,15106000,BOYACÁ,BRICEÑO
212,15109000,BOYACÁ,BUENAVISTA
213,15114000,BOYACÁ,BUSBANZÁ
214,15131000,BOYACÁ,CALDAS
215,15135000,BOYACÁ,CAMPOHERMOSO
216,15162000,BOYACÁ,CERINZA
217,15172000,BOYACÁ,CHINAVITA
218,15176000,BOYACÁ,CHIQUINQUIRÁ
219,15180000,BOYACÁ,CHISCAS
220,15183000,BOYACÁ,CHITA
221,15185000,BOYACÁ,CHITARAQUE
222,15187000,BOYACÁ,CHIVATÁ
223,15236000,BOYACÁ,CHIVOR
224,15232000,BOYACÁ,CHÍQUIZA
225,15189000,BOYACÁ,CIÉNEGA
226,15212000,BOYACÁ,COPER
227,15215000,BOYACÁ,CORRALES
228,15218000,BOYACÁ,COVARACHÍA
229,15223000,BOYACÁ,CUBARÁ
230,15224000,BOYACÁ,CUCAITA
231,15226000,BOYACÁ,CUÍTIVA
232,15204000,BOYACÁ,CÓMBITA
233,15238000,BOYACÁ,DUITAMA
234,15244000,BOYACÁ,EL COCUY
235,15248000,BOYACÁ,EL ESPINO
236,15272000,BOYACÁ,FIRAVITOBA
237,15276000,BOYACÁ,FLORESTA
238,15293000,BOYACÁ,GACHANTIVÁ
239,15296000,BOYACÁ,GAMEZA
240,15299000,BOYACÁ,GARAGOA
241,15317000,BOYACÁ,GUACAMAYAS
242,15322000,BOYACÁ,GUATEQUE
243,15325000,BOYACÁ,GUAYATÁ
244,15332000,BOYACÁ,GÜICÁN
245,15362000,BOYACÁ,IZA
246,15367000,BOYACÁ,JENESANO
247,15368000,BOYACÁ,JERICÓ
248,15380000,BOYACÁ,LA CAPILLA
249,15403000,BOYACÁ,LA UVITA
250,15401000,BOYACÁ,LA VICTORIA
251,15377000,BOYACÁ,LABRANZAGRANDE
252,15425000,BOYACÁ,MACANAL
253,15442000,BOYACÁ,MARIPÍ
254,15455000,BOYACÁ,MIRAFLORES
255,15464000,BOYACÁ,MONGUA
256,15466000,BOYACÁ,MONGUÍ
257,15469000,BOYACÁ,MONIQUIRÁ
258,15476000,BOYACÁ,MOTAVITA
259,15480000,BOYACÁ,MUZO
260,15491000,BOYACÁ,NOBSA
261,15494000,BOYACÁ,NUEVO COLÓN
262,15500000,BOYACÁ,OICATÁ
263,15507000,BOYACÁ,OTANCHE
264,15511000,BOYACÁ,PACHAVITA
265,15516000,BOYACÁ,PAIPA
266,15518000,BOYACÁ,PAJARITO
267,15522000,BOYACÁ,PANQUEBA
268,15531000,BOYACÁ,PAUNA
269,15533000,BOYACÁ,PAYA
270,15537000,BOYACÁ,PAZ DE RÍO
271,15542000,BOYACÁ,PESCA
272,15550000,BOYACÁ,PISBA
273,15572000,BOYACÁ,PUERTO BOYACÁ
274,15514000,BOYACÁ,PÁEZ
275,15580000,BOYACÁ,QUÍPAMA
276,15599000,BOYACÁ,RAMIRIQUÍ
277,15621000,BOYACÁ,RONDÓN
278,15600000,BOYACÁ,RÁQUIRA
279,15632000,BOYACÁ,SABOYÁ
280,15646000,BOYACÁ,SAMACÁ
281,15660000,BOYACÁ,SAN EDUARDO
282,15664000,BOYACÁ,SAN JOSÉ DE PARE
283,15667000,BOYACÁ,SAN LUIS DE GACENO
284,15673000,BOYACÁ,SAN MATEO
285,15676000,BOYACÁ,SAN MIGUEL DE SEMA
286,15681000,BOYACÁ,SAN PABLO DE BORBUR
287,15690000,BOYACÁ,SANTA MARÍA
288,15693000,BOYACÁ,SANTA ROSA DE VITERBO
289,15696000,BOYACÁ,SANTA SOFÍA
290,15686000,BOYACÁ,SANTANA
291,15720000,BOYACÁ,SATIVANORTE
292,15723000,BOYACÁ,SATIVASUR
293,15740000,BOYACÁ,SIACHOQUE
294,15753000,BOYACÁ,SOATÁ
295,15757000,BOYACÁ,SOCHA
296,15755000,BOYACÁ,SOCOTÁ
297,15759000,BOYACÁ,SOGAMOSO
298,15761000,BOYACÁ,SOMONDOCO
299,15762000,BOYACÁ,SORA
300,15764000,BOYACÁ,SORACÁ
301,15763000,BOYACÁ,SOTAQUIRÁ
302,15774000,BOYACÁ,SUSACÓN
303,15776000,BOYACÁ,SUTAMARCHÁN
304,15778000,BOYACÁ,SUTATENZA
305,15638000,BOYACÁ,SÁCHICA
306,15790000,BOYACÁ,TASCO
307,15798000,BOYACÁ,TENZA
308,15804000,BOYACÁ,TIBANÁ
309,15806000,BOYACÁ,TIBASOSA
310,15808000,BOYACÁ,TINJACÁ
311,15810000,BOYACÁ,TIPACOQUE
312,15814000,BOYACÁ,TOCA
313,15816000,BOYACÁ,TOGÜÍ
314,15822000,BOYACÁ,TOTA
315,15001000,BOYACÁ,TUNJA (CT)
316,15832000,BOYACÁ,TUNUNGUÁ
317,15835000,BOYACÁ,TURMEQUÉ
318,15837000,BOYACÁ,TUTA
319,15839000,BOYACÁ,TUTAZÁ
320,15820000,BOYACÁ,TÓPAGA
321,15842000,BOYACÁ,UMBITA
322,15861000,BOYACÁ,VENTAQUEMADA
323,15407000,BOYACÁ,VILLA DE LEYVA
324,15879000,BOYACÁ,VIRACACHÁ
325,15897000,BOYACÁ,ZETAQUIRA
326,17013000,CALDAS,AGUADAS
327,17042000,CALDAS,ANSERMA
328,17050000,CALDAS,ARANZAZU
329,17088000,CALDAS,BELALCÁZAR
330,17174000,CALDAS,CHINCHINÁ
331,17272000,CALDAS,FILADELFIA
332,17380000,CALDAS,LA DORADA
333,17388000,CALDAS,LA MERCED
334,17001000,CALDAS,MANIZALES (CT)
335,17433000,CALDAS,MANZANARES
336,17442000,CALDAS,MARMATO
337,17444000,CALDAS,MARQUETALIA
338,17446000,CALDAS,MARULANDA
339,17486000,CALDAS,NEIRA
340,17495000,CALDAS,NORCASIA
341,17524000,CALDAS,PALESTINA
342,17541000,CALDAS,PENSILVANIA
343,17513000,CALDAS,PÁCORA
344,17614000,CALDAS,RIOSUCIO
345,17616000,CALDAS,RISARALDA
346,17653000,CALDAS,SALAMINA
347,17662000,CALDAS,SAMANÁ
348,17665000,CALDAS,SAN JOSÉ
349,17777000,CALDAS,SUPÍA
350,17867000,CALDAS,VICTORIA
351,17873000,CALDAS,VILLAMARÍA
352,17877000,CALDAS,VITERBO
353,18029000,CAQUETÁ,ALBANIA
354,18094000,CAQUETÁ,BELÉN DE LOS ANDAQUIES
355,18150000,CAQUETÁ,CARTAGENA DEL CHAIRÁ
356,18205000,CAQUETÁ,CURILLO
357,18247000,CAQUETÁ,EL DONCELLO
358,18256000,CAQUETÁ,EL PAUJIL
359,18001000,CAQUETÁ,FLORENCIA (CT)
360,18410000,CAQUETÁ,LA MONTAÑITA
361,18460000,CAQUETÁ,MILÁN
362,18479000,CAQUETÁ,MORELIA
363,18592000,CAQUETÁ,PUERTO RICO
364,18610000,CAQUETÁ,SAN JOSÉ DEL FRAGUA
365,18753000,CAQUETÁ,SAN VICENTE DEL CAGUÁN
366,18756000,CAQUETÁ,SOLANO
367,18785000,CAQUETÁ,SOLITA
368,18860000,CAQUETÁ,VALPARAÍSO
369,85010000,CASANARE,AGUAZUL
370,85015000,CASANARE,CHAMEZA
371,85125000,CASANARE,HATO COROZAL
372,85136000,CASANARE,LA SALINA
373,85139000,CASANARE,MANÍ
374,85162000,CASANARE,MONTERREY
375,85225000,CASANARE,NUNCHÍA
376,85230000,CASANARE,OROCUÉ
377,85250000,CASANARE,PAZ DE ARIPORO
378,85263000,CASANARE,PORE
379,85279000,CASANARE,RECETOR
380,85300000,CASANARE,SABANALARGA
381,85325000,CASANARE,SAN LUIS DE PALENQUE
382,85410000,CASANARE,TAURAMENA
383,85430000,CASANARE,TRINIDAD
384,85400000,CASANARE,TÁMARA
385,85440000,CASANARE,VILLANUEVA
386,85001000,CASANARE,YOPAL (CT)
387,19022000,CAUCA,ALMAGUER
388,19050000,CAUCA,ARGELIA
389,19075000,CAUCA,BALBOA
390,19100000,CAUCA,BOLÍVAR
391,19110000,CAUCA,BUENOS AIRES
392,19130000,CAUCA,CAJIBÍO
393,19137000,CAUCA,CALDONO
394,19142000,CAUCA,CALOTO
395,19212000,CAUCA,CORINTO
396,19256000,CAUCA,EL TAMBO
397,19290000,CAUCA,FLORENCIA
398,19300000,CAUCA,GUACHENÉ
399,19318000,CAUCA,GUAPI
400,19355000,CAUCA,INZÁ
401,19364000,CAUCA,JAMBALÓ
402,19392000,CAUCA,LA SIERRA
403,19397000,CAUCA,LA VEGA
404,19418000,CAUCA,LÓPEZ
405,19450000,CAUCA,MERCADERES
406,19455000,CAUCA,MIRANDA
407,19473000,CAUCA,MORALES
408,19513000,CAUCA,PADILLA
409,19517000,CAUCA,PAEZ
410,19532000,CAUCA,PATÍA
411,19533000,CAUCA,PIAMONTE
412,19548000,CAUCA,PIENDAMÓ
