fact_id,date_id,location_id,tool_id,genero,grupo_etario,cantidad
1,1,18,7,FEMENINO,ADULTOS,1
2,1,29,3,MASCULINO,ADULTOS,1
3,1,31,3,FEMENINO,ADULTOS,1
4,1,31,3,MASCULINO,MENORES,1
5,1,38,3,FEMENINO,MENORES,1
6,1,48,7,FEMENINO,ADULTOS,1
7,1,49,3,FEMENINO,ADULTOS,1
8,1,71,3,FEMENINO,ADULTOS,2
9,1,71,7,FEMENINO,ADULTOS,10
10,1,71,7,MASCULINO,ADULTOS,2
11,1,87,7,FEMENINO,ADULTOS,1
12,1,106,7,FEMENINO,ADULTOS,1
13,1,126,7,FEMENINO,ADULTOS,1
14,1,128,3,FEMENINO,ADULTOS,2
15,1,136,3,FEMENINO,ADULTOS,4
16,1,148,3,FEMENINO,ADULTOS,1
17,1,166,7,FEMENINO,ADULTOS,5
18,1,170,7,FEMENINO,ADULTOS,1
19,1,201,4,FEMENINO,ADOLESCENTES,1
20,1,218,3,FEMENINO,ADULTOS,1
21,1,233,3,FEMENINO,ADULTOS,3
22,1,288,3,FEMENINO,ADULTOS,1
23,1,290,3,FEMENINO,ADULTOS,1
24,1,315,3,FEMENINO,ADULTOS,3
25,1,334,5,MASCULINO,ADULTOS,1
26,1,334,5,MASCULINO,MENORES,1
27,1,365,3,FEMENINO,ADULTOS,1
28,1,381,3,FEMENINO,ADULTOS,1
29,1,386,3,FEMENINO,ADULTOS,1
30,1,400,3,FEMENINO,ADOLESCENTES,1
31,1,413,3,FEMENINO,ADULTOS,1
32,1,413,7,FEMENINO,ADULTOS,2
33,1,418,3,FEMENINO,ADULTOS,1
34,1,456,7,FEMENINO,ADULTOS,1
35,1,488,3,FEMENINO,ADULTOS,5
36,1,488,4,FEMENINO,ADULTOS,1
37,1,488,4,MASCULINO,ADULTOS,1
38,1,488,7,FEMENINO,ADOLESCENTES,2
39,1,488,7,FEMENINO,ADULTOS,27
40,1,488,7,FEMENINO,MENORES,1
41,1,488,7,MASCULINO,ADULTOS,7
42,1,490,7,FEMENINO,ADULTOS,1
43,1,507,3,MASCULINO,MENORES,1
44,1,528,7,FEMENINO,ADULTOS,1
45,1,528,7,MASCULINO,ADULTOS,1
46,1,576,7,FEMENINO,MENORES,1
47,1,582,7,FEMENINO,ADULTOS,1
48,1,595,3,FEMENINO,ADULTOS,1
49,1,595,3,MASCULINO,ADULTOS,1
50,1,610,3,FEMENINO,ADULTOS,3
51,1,624,7,MASCULINO,ADOLESCENTES,1
52,1,638,3,FEMENINO,ADULTOS,1
53,1,656,3,FEMENINO,ADULTOS,1
54,1,663,3,FEMENINO,ADULTOS,1
55,1,664,3,FEMENINO,ADOLESCENTES,1
56,1,664,3,FEMENINO,ADULTOS,3
57,1,671,3,FEMENINO,ADULTOS,1
58,1,691,3,FEMENINO,ADULTOS,1
59,1,709,3,FEMENINO,ADULTOS,2
60,1,716,7,FEMENINO,ADULTOS,1
61,1,724,3,FEMENINO,ADULTOS,1
62,1,741,3,FEMENINO,ADULTOS,5
63,1,741,7,FEMENINO,ADULTOS,1
64,1,759,7,FEMENINO,ADULTOS,1
65,1,785,3,MASCULINO,ADULTOS,1
66,1,785,7,FEMENINO,ADULTOS,2
67,1,816,1,FEMENINO,ADULTOS,1
68,1,816,3,FEMENINO,ADULTOS,1
69,1,816,7,FEMENINO,ADULTOS,2
70,1,858,7,FEMENINO,ADULTOS,1
71,1,860,1,FEMENINO,ADOLESCENTES,1
72,1,873,3,FEMENINO,ADULTOS,2
73,1,873,3,NO REPORTA,ADULTOS,1
74,1,876,3,FEMENINO,ADULTOS,1
75,1,879,3,FEMENINO,ADULTOS,1
76,1,882,3,FEMENINO,ADULTOS,1
77,1,891,7,FEMENINO,ADULTOS,2
78,1,894,3,FEMENINO,ADOLESCENTES,1
79,1,894,3,FEMENINO,ADULTOS,3
80,1,894,3,MASCULINO,ADULTOS,1
81,1,894,7,FEMENINO,ADULTOS,1
82,1,917,3,FEMENINO,ADULTOS,2
83,1,949,1,FEMENINO,ADULTOS,1
84,1,963,3,FEMENINO,ADULTOS,1
85,1,963,5,FEMENINO,ADULTOS,1
86,1,977,3,MASCULINO,ADULTOS,1
87,1,977,7,FEMENINO,ADULTOS,1
88,1,996,7,FEMENINO,ADULTOS,1
89,1,1011,7,FEMENINO,ADULTOS,2
90,1,1020,4,FEMENINO,ADULTOS,1
91,1,1020,7,FEMENINO,ADULTOS,1
92,1,1051,3,FEMENINO,ADULTOS,1
93,1,1054,1,FEMENINO,ADULTOS,1
94,1,1054,3,FEMENINO,ADULTOS,7
95,1,1054,3,FEMENINO,MENORES,1
96,1,1054,3,MASCULINO,ADULTOS,1
97,1,1054,7,FEMENINO,ADULTOS,1
98,1,1066,3,FEMENINO,ADULTOS,1
99,1,1072,3,FEMENINO,ADULTOS,1
100,1,1072,7,FEMENINO,ADULTOS,2
101,2,8,3,FEMENINO,ADULTOS,1
102,2,21,3,FEMENINO,ADULTOS,1
103,2,71,3,FEMENINO,ADULTOS,1
104,2,71,7,FEMENINO,ADULTOS,10
105,2,71,7,MASCULINO,ADULTOS,1
106,2,105,3,FEMENINO,ADULTOS,1
107,2,114,7,FEMENINO,ADULTOS,1
108,2,127,3,FEMENINO,ADULTOS,1
109,2,136,2,FEMENINO,ADULTOS,1
110,2,136,3,FEMENINO,ADULTOS,3
111,2,154,3,FEMENINO,ADULTOS,2
112,2,166,7,FEMENINO,ADULTOS,5
113,2,170,7,FEMENINO,ADULTOS,1
114,2,175,3,FEMENINO,ADULTOS,1
115,2,177,7,FEMENINO,ADOLESCENTES,1
116,2,188,1,FEMENINO,ADULTOS,2
117,2,188,1,FEMENINO,MENORES,1
118,2,229,3,FEMENINO,ADULTOS,1
119,2,286,7,FEMENINO,ADULTOS,1
120,2,297,3,FEMENINO,ADULTOS,1
121,2,305,3,FEMENINO,ADULTOS,1
122,2,313,3,FEMENINO,ADULTOS,1
123,2,315,3,FEMENINO,ADULTOS,5
124,2,315,3,MASCULINO,ADULTOS,1
125,2,334,3,MASCULINO,ADULTOS,1
126,2,392,3,FEMENINO,ADULTOS,1
127,2,413,3,FEMENINO,ADULTOS,1
128,2,413,7,FEMENINO,ADULTOS,3
129,2,418,3,FEMENINO,ADOLESCENTES,1
130,2,418,3,MASCULINO,ADULTOS,1
131,2,472,5,FEMENINO,ADULTOS,1
132,2,488,1,FEMENINO,ADULTOS,1
133,2,488,3,FEMENINO,ADULTOS,17
134,2,488,3,MASCULINO,ADULTOS,5
135,2,488,4,FEMENINO,ADULTOS,4
136,2,488,7,FEMENINO,ADULTOS,16
137,2,488,7,FEMENINO,MENORES,2
138,2,488,7,MASCULINO,ADULTOS,6
139,2,500,7,FEMENINO,ADULTOS,1
140,2,500,7,MASCULINO,ADULTOS,1
