check_date,data_dimension,check_name,check_type,total_records,passed_records,failed_records,pass_rate,severity,issue_description
2024-01-07,Completeness,Customer ID Not Null,null_check,7,6,1,85.71,medium,1 order missing customer_id
2024-01-07,Completeness,Customer Email Not Null,null_check,7,6,1,85.71,medium,1 order missing customer_email
2024-01-07,Completeness,Product ID Not Null,null_check,7,7,0,100.00,high,All product IDs present
2024-01-07,Accuracy,Email Format Validation,format_check,7,7,0,100.00,medium,All emails have valid format
2024-01-07,Accuracy,Total Amount Calculation,calculation_check,7,7,0,100.00,high,All amounts match quantity * unit_price
2024-01-07,Consistency,Order Status Valid Values,domain_check,7,7,0,100.00,medium,All statuses are valid
2024-01-07,Consistency,Payment Method Valid Values,domain_check,7,7,0,100.00,low,All payment methods are valid
2024-01-07,Timeliness,Recent Orders (Last 30 Days),freshness_check,7,7,0,100.00,medium,All orders are recent
2024-01-14,Completeness,Customer ID Not Null,null_check,10,9,1,90.00,medium,1 order missing customer_id
2024-01-14,Completeness,Customer Email Not Null,null_check,10,9,1,90.00,medium,1 order missing customer_email
2024-01-14,Completeness,Product ID Not Null,null_check,10,10,0,100.00,high,All product IDs present
2024-01-14,Accuracy,Email Format Validation,format_check,10,10,0,100.00,medium,All emails have valid format
2024-01-14,Accuracy,Total Amount Calculation,calculation_check,10,10,0,100.00,high,All amounts match quantity * unit_price
2024-01-14,Consistency,Order Status Valid Values,domain_check,10,10,0,100.00,medium,All statuses are valid
2024-01-14,Consistency,Payment Method Valid Values,domain_check,10,10,0,100.00,low,All payment methods are valid
2024-01-14,Timeliness,Recent Orders (Last 30 Days),freshness_check,10,10,0,100.00,medium,All orders are recent
2024-01-21,Completeness,Customer ID Not Null,null_check,12,11,1,91.67,medium,1 order missing customer_id
2024-01-21,Completeness,Customer Email Not Null,null_check,12,11,1,91.67,medium,1 order missing customer_email
2024-01-21,Completeness,Product ID Not Null,null_check,12,12,0,100.00,high,All product IDs present
2024-01-21,Accuracy,Email Format Validation,format_check,12,12,0,100.00,medium,All emails have valid format
2024-01-21,Accuracy,Total Amount Calculation,calculation_check,12,12,0,100.00,high,All amounts match quantity * unit_price
2024-01-21,Consistency,Order Status Valid Values,domain_check,12,12,0,100.00,medium,All statuses are valid
2024-01-21,Consistency,Payment Method Valid Values,domain_check,12,12,0,100.00,low,All payment methods are valid
2024-01-21,Timeliness,Recent Orders (Last 30 Days),freshness_check,12,12,0,100.00,medium,All orders are recent
2024-01-28,Completeness,Customer ID Not Null,null_check,15,14,1,93.33,medium,1 order missing customer_id
2024-01-28,Completeness,Customer Email Not Null,null_check,15,14,1,93.33,medium,1 order missing customer_email
2024-01-28,Completeness,Product ID Not Null,null_check,15,15,0,100.00,high,All product IDs present
2024-01-28,Accuracy,Email Format Validation,format_check,15,15,0,100.00,medium,All emails have valid format
2024-01-28,Accuracy,Total Amount Calculation,calculation_check,15,15,0,100.00,high,All amounts match quantity * unit_price
2024-01-28,Consistency,Order Status Valid Values,domain_check,15,15,0,100.00,medium,All statuses are valid
2024-01-28,Consistency,Payment Method Valid Values,domain_check,15,15,0,100.00,low,All payment methods are valid
2024-01-28,Timeliness,Recent Orders (Last 30 Days),freshness_check,15,15,0,100.00,medium,All orders are recent
2024-02-04,Completeness,Customer ID Not Null,null_check,17,16,1,94.12,medium,1 order missing customer_id
2024-02-04,Completeness,Customer Email Not Null,null_check,17,16,1,94.12,medium,1 order missing customer_email
2024-02-04,Completeness,Product ID Not Null,null_check,17,17,0,100.00,high,All product IDs present
2024-02-04,Accuracy,Email Format Validation,format_check,17,17,0,100.00,medium,All emails have valid format
2024-02-04,Accuracy,Total Amount Calculation,calculation_check,17,17,0,100.00,high,All amounts match quantity * unit_price
2024-02-04,Consistency,Order Status Valid Values,domain_check,17,17,0,100.00,medium,All statuses are valid
2024-02-04,Consistency,Payment Method Valid Values,domain_check,17,17,0,100.00,low,All payment methods are valid
2024-02-04,Timeliness,Recent Orders (Last 30 Days),freshness_check,17,14,3,82.35,medium,3 orders older than 30 days
2024-02-11,Completeness,Customer ID Not Null,null_check,20,19,1,95.00,medium,1 order missing customer_id
2024-02-11,Completeness,Customer Email Not Null,null_check,20,19,1,95.00,medium,1 order missing customer_email
2024-02-11,Completeness,Product ID Not Null,null_check,20,19,1,95.00,high,1 order missing product_id
2024-02-11,Accuracy,Email Format Validation,format_check,20,20,0,100.00,medium,All emails have valid format
2024-02-11,Accuracy,Total Amount Calculation,calculation_check,20,20,0,100.00,high,All amounts match quantity * unit_price
2024-02-11,Consistency,Order Status Valid Values,domain_check,20,20,0,100.00,medium,All statuses are valid
2024-02-11,Consistency,Payment Method Valid Values,domain_check,20,20,0,100.00,low,All payment methods are valid
2024-02-11,Timeliness,Recent Orders (Last 30 Days),freshness_check,20,16,4,80.00,medium,4 orders older than 30 days
2024-02-18,Completeness,Customer ID Not Null,null_check,22,21,1,95.45,medium,1 order missing customer_id
2024-02-18,Completeness,Customer Email Not Null,null_check,22,21,1,95.45,medium,1 order missing customer_email
2024-02-18,Completeness,Product ID Not Null,null_check,22,21,1,95.45,high,1 order missing product_id
2024-02-18,Accuracy,Email Format Validation,format_check,22,22,0,100.00,medium,All emails have valid format
2024-02-18,Accuracy,Total Amount Calculation,calculation_check,22,22,0,100.00,high,All amounts match quantity * unit_price
2024-02-18,Consistency,Order Status Valid Values,domain_check,22,22,0,100.00,medium,All statuses are valid
2024-02-18,Consistency,Payment Method Valid Values,domain_check,22,22,0,100.00,low,All payment methods are valid
2024-02-18,Timeliness,Recent Orders (Last 30 Days),freshness_check,22,18,4,81.82,medium,4 orders older than 30 days
2024-02-25,Completeness,Customer ID Not Null,null_check,25,24,1,96.00,medium,1 order missing customer_id
2024-02-25,Completeness,Customer Email Not Null,null_check,25,24,1,96.00,medium,1 order missing customer_email
2024-02-25,Completeness,Product ID Not Null,null_check,25,24,1,96.00,high,1 order missing product_id
2024-02-25,Accuracy,Email Format Validation,format_check,25,25,0,100.00,medium,All emails have valid format
2024-02-25,Accuracy,Total Amount Calculation,calculation_check,25,25,0,100.00,high,All amounts match quantity * unit_price
2024-02-25,Consistency,Order Status Valid Values,domain_check,25,25,0,100.00,medium,All statuses are valid
2024-02-25,Consistency,Payment Method Valid Values,domain_check,25,25,0,100.00,low,All payment methods are valid
2024-02-25,Timeliness,Recent Orders (Last 30 Days),freshness_check,25,20,5,80.00,medium,5 orders older than 30 days
2024-03-03,Completeness,Customer ID Not Null,null_check,27,26,1,96.30,medium,1 order missing customer_id
2024-03-03,Completeness,Customer Email Not Null,null_check,27,26,1,96.30,medium,1 order missing customer_email
2024-03-03,Completeness,Product ID Not Null,null_check,27,26,1,96.30,high,1 order missing product_id
2024-03-03,Accuracy,Email Format Validation,format_check,27,27,0,100.00,medium,All emails have valid format
2024-03-03,Accuracy,Total Amount Calculation,calculation_check,27,27,0,100.00,high,All amounts match quantity * unit_price
2024-03-03,Consistency,Order Status Valid Values,domain_check,27,27,0,100.00,medium,All statuses are valid
2024-03-03,Consistency,Payment Method Valid Values,domain_check,27,27,0,100.00,low,All payment methods are valid
2024-03-03,Timeliness,Recent Orders (Last 30 Days),freshness_check,27,21,6,77.78,medium,6 orders older than 30 days
2024-03-10,Completeness,Customer ID Not Null,null_check,30,29,1,96.67,medium,1 order missing customer_id
2024-03-10,Completeness,Customer Email Not Null,null_check,30,29,1,96.67,medium,1 order missing customer_email
2024-03-10,Completeness,Product ID Not Null,null_check,30,29,1,96.67,high,1 order missing product_id
2024-03-10,Accuracy,Email Format Validation,format_check,30,30,0,100.00,medium,All emails have valid format
2024-03-10,Accuracy,Total Amount Calculation,calculation_check,30,30,0,100.00,high,All amounts match quantity * unit_price
2024-03-10,Consistency,Order Status Valid Values,domain_check,30,30,0,100.00,medium,All statuses are valid
2024-03-10,Consistency,Payment Method Valid Values,domain_check,30,30,0,100.00,low,All payment methods are valid
2024-03-10,Timeliness,Recent Orders (Last 30 Days),freshness_check,30,23,7,76.67,medium,7 orders older than 30 days
2024-03-17,Completeness,Customer ID Not Null,null_check,32,31,1,96.88,medium,1 order missing customer_id
2024-03-17,Completeness,Customer Email Not Null,null_check,32,31,1,96.88,medium,1 order missing customer_email
2024-03-17,Completeness,Product ID Not Null,null_check,32,31,1,96.88,high,1 order missing product_id
2024-03-17,Accuracy,Email Format Validation,format_check,32,32,0,100.00,medium,All emails have valid format
2024-03-17,Accuracy,Total Amount Calculation,calculation_check,32,32,0,100.00,high,All amounts match quantity * unit_price
2024-03-17,Consistency,Order Status Valid Values,domain_check,32,32,0,100.00,medium,All statuses are valid
2024-03-17,Consistency,Payment Method Valid Values,domain_check,32,32,0,100.00,low,All payment methods are valid
2024-03-17,Timeliness,Recent Orders (Last 30 Days),freshness_check,32,25,7,78.13,medium,7 orders older than 30 days
2024-03-24,Completeness,Customer ID Not Null,null_check,35,34,1,97.14,medium,1 order missing customer_id
2024-03-24,Completeness,Customer Email Not Null,null_check,35,34,1,97.14,medium,1 order missing customer_email
2024-03-24,Completeness,Product ID Not Null,null_check,35,34,1,97.14,high,1 order missing product_id
2024-03-24,Accuracy,Email Format Validation,format_check,35,35,0,100.00,medium,All emails have valid format
2024-03-24,Accuracy,Total Amount Calculation,calculation_check,35,35,0,100.00,high,All amounts match quantity * unit_price
2024-03-24,Consistency,Order Status Valid Values,domain_check,35,35,0,100.00,medium,All statuses are valid
2024-03-24,Consistency,Payment Method Valid Values,domain_check,35,35,0,100.00,low,All payment methods are valid
2024-03-24,Timeliness,Recent Orders (Last 30 Days),freshness_check,35,28,7,80.00,medium,7 orders older than 30 days
2024-03-31,Completeness,Customer ID Not Null,null_check,38,36,2,94.74,medium,2 orders missing customer_id
